 1.000E+00 1.309E+04
 1.166E+00 1.144E+04
 1.359E+00 9.799E+03
 1.585E+00 8.010E+03
 1.848E+00 6.438E+03
 2.154E+00 5.080E+03
 2.512E+00 3.897E+03
 2.712E+00 3.393E+03
 2.818E+00 3.607E+03
 2.929E+00 6.563E+03
 3.043E+00 6.240E+03
 3.162E+00 4.338E+03
 3.286E+00 2.941E+03
 3.414E+00 2.538E+03
 3.548E+00 2.323E+03
 3.687E+00 2.134E+03
 3.831E+00 2.033E+03
 3.981E+00 1.932E+03
 4.299E+00 1.762E+03
 4.642E+00 1.625E+03
 5.012E+00 1.421E+03
 5.412E+00 1.289E+03
 5.843E+00 1.367E+03
 6.310E+00 1.304E+03
 6.813E+00 1.246E+03
 7.356E+00 1.122E+03
 7.943E+00 1.057E+03
 8.577E+00 1.103E+03
 8.912E+00 1.432E+03
 9.261E+00 1.723E+03
 9.623E+00 2.202E+03
 9.810E+00 2.678E+03
 1.000E+01 2.579E+03
 1.039E+01 2.522E+03
 1.080E+01 2.478E+03
 1.122E+01 2.555E+03
 1.166E+01 2.506E+03
 1.259E+01 1.964E+03
 1.359E+01 1.602E+03
 1.468E+01 1.347E+03
 1.585E+01 1.327E+03
 1.711E+01 1.513E+03
 1.848E+01 1.584E+03
 1.995E+01 1.343E+03
 2.155E+01 1.098E+03
 2.512E+01 7.679E+02
 2.929E+01 5.453E+02
 3.415E+01 4.513E+02
 3.687E+01 4.339E+02
 3.981E+01 4.269E+02
 4.299E+01 4.215E+02
 4.642E+01 3.869E+02
 5.412E+01 2.796E+02
 6.310E+01 2.112E+02
 7.357E+01 1.580E+02
 8.577E+01 1.182E+02
 1.000E+02 8.647E+01
 1.166E+02 6.753E+01
 1.359E+02 5.251E+01
 1.585E+02 4.086E+01
 1.848E+02 3.066E+01
 2.260E+02 2.169E+01
 3.500E+02 1.008E+01
 5.000E+02 5.043E+00
 7.000E+02 2.573E+00
 1.000E+03 1.367E+00
 1.300E+03 8.992E-01
